FID;ID;ID_BD;ID_CODIGO;ID_MOD;FECHA_ALTA;ALTITUD;COD_IATA;COD_ICAO;COMPE_0615;TEN_T;TIPO_0615;ETIQUETA
0;220;0;0615P;0;20120204000000;722; ;LEPI;02;01;02;Aeródromo de Casas de los Pinos
1;221;0;0615P;0;20120204000000;712; ; ;02;01;02;Aeródromo
2;224;0;0615P;0;20120623000000;784; ; ;02;01;02;Aeródromo de Pozorrubio de Santiago
3;225;0;0615P;0;20120623000000;0; ; ;02;01;03;Helipuerto de Villamayor de Santiago
4;226;0;0615P;0;20120623000000;0; ; ;02;01;03;Helipuerto de Casasimarro
5;229;0;0615P;0;20120802000000;0; ; ;02;01;03;Helipuerto de Motilla del Palancar
6;230;0;0615P;0;20120802000000;0; ; ;02;01;03;Helipuerto de Iniesta
7;233;0;0615P;0;20120809000000;0; ; ;02;01;03;Helipuerto de San Lorenzo de la Parrilla
8;235;0;0615P;0;20121103000000;410; ; ;02;01;02;Aeródromo de La Cervera
9;236;0;0615P;58635;20070412000000;368; ; ;02;01;02;Aeródromo de Lacopa
10;237;0;0615P;0;20120309000000;0; ; ;03;01;03;Helipuerto Cuartel de Santa Ana, Cáceres
11;241;0;0615P;0;20130312000000;524; ; ;02;01;02;Aeródromo de Aldeacentenera
12;242;0;0615P;0;20130312000000;306; ; ;02;01;02;Aeródromo de Belvis de Monroy
13;243;0;0615P;0;20130312000000;284; ; ;02;01;02;Aeródromo de Navalmoral de la Mata
14;244;0;0615P;0;20130312000000;430; ;LEGU;02;01;02;Aeródromo de  Alia/Guadalupe
15;276;0;0615P;0;20120507000000;699; ; ;01;01;02;Pista de Aeromodelismo Las Tiesas
16;299;0;0615P;0;20120203000000;693; ;LESE;02;01;02;Aeródromo de San Enrique
17;300;0;0615P;0;20120203000000;646; ;LECT;02;01;02;Aeródromo de El Castaño
18;301;0;0615P;0;20120203000000;575; ;LEPZ;02;01;02;Aeródromo de Pozuelos de Calatrava
19;302;0;0615P;0;20120203000000;816; ;LEVI;02;01;02;Aeródromo de El Viso del Marqués
20;303;0;0615P;0;20120203000000;832; ;LEIZ;02;01;02;Aeródromo de La Perdiz-Torre de Juan Abad
21;304;0;0615P;0;20120203000000;622;CQM;LERL;02;01;01;Aeropuerto Central de Ciudad Real
22;305;0;0615P;0;20120203000000;749; ;LELA;02;01;02;Aeródromo de La Calderera
23;306;0;0615P;0;20110915000000;0; ; ;02;01;03;Helipuerto del Castillo de Mudela
24;307;0;0615P;0;20120507000000;674; ; ;02;01;02;Aeródromo de Puertollano
25;308;0;0615P;0;20120507000000;0; ; ;02;01;03;Helipuerto de Viso del Marqués
26;309;0;0615P;0;20120507000000;790; ; ;02;01;02;Aeródromo
27;310;0;0615P;0;20120507000000;0; ; ;02;01;03;Helipuerto de Puertollano
28;311;0;0615P;0;20120507000000;711; ; ;02;01;02;Aeródromo
29;312;0;0615P;0;20120507000000;0; ; ;02;01;03;Helipuerto
30;313;0;0615P;0;20120507000000;624; ;LEAO;03;01;03;Base Aérea de Almagro
31;325;0;0615P;0;20121030000000;491; ; ;02;01;02;Aeródromo de Linares
32;326;0;0615P;0;20121030000000;545; ; ;02;01;02;Aeródromo de Beas de Segura
33;327;0;0615P;0;20120412000000;1353; ; ;02;01;03;Helipuerto de Pegalajar
34;328;0;0615P;0;20120412000000;0; ; ;02;01;03;Helipuerto
35;329;0;0615P;0;20120327000000;435; ; ;02;01;03;Helipuerto (Mina de Valdeinfierno)
36;330;0;0615P;0;20110511000000;435; ; ;02;01;03;Helipuerto
37;331;0;0615P;0;20110428000000;775; ; ;02;01;03;Helipuerto (Cortijo de la Balazna)
38;332;0;0615P;0;20110428000000;785; ; ;02;01;03;Helipuerto (Cortijo Viejo del Robledar)
39;333;0;0615P;0;20110428000000;765; ; ;02;01;03;Helipuerto (Cortijo del Engarbo)
40;334;0;0615P;0;20110428000000;773; ; ;02;01;03;Helipuerto (Fuente del Arca)
41;335;0;0615P;0;20121007000000;762; ; ;02;01;03;Helipuerto de Marmolejo
42;336;0;0615P;0;20121009000000;1212; ; ;02;01;03;Helipuerto de los Villares
43;337;0;0615P;0;20121016000000;254; ; ;02;01;02;Aeródromo de Sierra Morena
44;338;0;0615P;0;20130307000000;314; ; ;02;01;02;Aeroclub Jaén
45;339;0;0615P;0;20130307000000;432; ; ;02;01;03;Helipuerto (Los Tercios)
46;340;0;0615P;0;20121228000000;1057; ; ;02;01;02;Aeródromo del INFOCA
47;341;0;0615P;0;20121228000000;680; ;LEGA;03;01;01;Aeropuerto de Armilla
48;343;0;0615P;0;20120409000000;1122; ; ;02;01;03;Helipuerto (Collado de la Cruz Chiquita)
49;344;0;0615P;0;20120409000000;1253; ; ;02;01;03;Helipuerto (Puerto Lobo)
50;345;0;0615P;0;20120409000000;765; ; ;02;01;03;Helipuerto (Cerro de Las Monjas)
51;346;0;0615P;0;20120409000000;0; ; ;02;01;03;Helipuerto
52;347;0;0615P;0;20120409000000;1042; ; ;02;01;03;Helipuerto de Fregenite
53;348;0;0615P;0;20120409000000;1560; ; ;02;01;03;Helipuerto Hoya Carlos
54;349;0;0615P;0;20120409000000;1334; ; ;02;01;03;Helipuerto de Bubión
55;350;0;0615P;0;20120409000000;1965; ; ;02;01;03;Helipuerto de Cortijuelos
56;351;0;0615P;0;20120409000000;1364; ; ;02;01;03;Helipuerto (Sierra de las Alpujarras)
57;352;0;0615P;0;20120409000000;0; ; ;02;01;03;Helipuerto
58;353;0;0615P;0;20121228000000;0; ; ;02;01;03;Helipuerto
59;354;0;0615P;0;20120409000000;0; ; ;02;01;03;Helipuerto
60;355;0;0615P;0;20120409000000;0; ; ;02;01;03;Helipuerto
61;356;0;0615P;0;20120409000000;0; ; ;02;01;03;Helipuerto
62;357;0;0615P;0;20121228000000;0; ; ;02;01;03;Helipuerto de Jerez del Marquesado
63;358;0;0615P;0;20120409000000;0; ; ;02;01;03;Helipuerto
64;359;0;0615P;0;20120328000000;0; ; ;02;01;03;Helipuerto
65;360;0;0615P;0;20121228000000;0; ; ;02;01;03;Helipuerto
66;361;0;0615P;0;20121228000000;0; ; ;02;01;03;Helipuerto
67;362;0;0615P;0;20100923000000;0; ; ;02;01;03;Helipuerto
68;363;0;0615P;0;20100923000000;0; ; ;02;01;03;Helipuerto
69;364;0;0615P;0;20100923000000;0; ; ;02;01;03;Helipuerto
70;365;0;0615P;0;20121228000000;0; ; ;02;01;03;Helipuerto
71;366;0;0615P;0;20121228000000;0; ; ;02;01;03;Helipuerto
